entity_1,relation,entity_2
倪辉辉,invented,一种车辆尾翼系统及尾翼升降机构
倪辉辉,invented,一种电动尾翼驱动装置、电动尾翼总成及汽车
倪辉辉,invented,调节装置、尾翼装置和车辆
倪辉辉,invented,车辆及其扰流装置
倪辉辉,invented,尾翼底座排水连接结构
倪辉辉,invented,一种尾翼装置及其汽车
倪辉辉,invented,一种口盖结构以及机动设备
倪辉辉,invented,一种连杆式尾翼及其汽车
倪辉辉,invented,车辆尾翼及车辆
龙帅,invented,一种车辆尾翼系统及尾翼升降机构
龙帅,invented,一种电动尾翼驱动装置、电动尾翼总成及汽车
龙帅,invented,调节装置、尾翼装置和车辆
龙帅,invented,汽车尾门撑杆系统
龙帅,invented,阻尼器、电动尾门撑杆及车辆
龙帅,invented,车辆及其扰流装置
龙帅,invented,低能耗节能电动伸缩踏板系统及驱动电机
龙帅,invented,尾翼底座排水连接结构
龙帅,invented,一种轴向阻尼器及电动尾门机械撑杆
龙帅,invented,汽车尾门的驱动系统及其汽车
龙帅,invented,一种中控屏调节机构
龙帅,invented,一种尾翼装置及其汽车
龙帅,invented,一种口盖结构以及机动设备
龙帅,invented,扰流翼的固定装置、扰流翼组件及车辆
龙帅,invented,一种连杆式尾翼及其汽车
龙帅,invented,一种电动撑杆和汽车
龙帅,invented,一种阻尼器和电动尾门撑杆
龙帅,invented,一种汽车电动尾翼结构
龙帅,invented,一种具有安装高度调节结构的汽车尾翼
龙帅,invented,一种摩擦阻尼器及电动尾门机械撑杆
龙帅,invented,一种电动尾翼底座排水结构及电动尾翼总成
龙帅,invented,一种把手总成及汽车门
龙帅,invented,车辆尾翼及车辆
龙帅,invented,车门连接机构及汽车
龙帅,invented,固定头和车门撑杆
龙帅,invented,阻尼器及汽车尾门撑杆
陈进,invented,一种车辆尾翼系统及尾翼升降机构
陈进,invented,一种电动尾翼驱动装置、电动尾翼总成及汽车
陈进,invented,调节装置、尾翼装置和车辆
陈进,invented,阻尼器、电动尾门撑杆及车辆
陈进,invented,车辆及其扰流装置
陈进,invented,尾翼底座排水连接结构
陈进,invented,一种轴向阻尼器及电动尾门机械撑杆
陈进,invented,汽车尾门的驱动系统及其汽车
陈进,invented,一种中控屏调节机构
陈进,invented,一种尾翼装置及其汽车
陈进,invented,一种口盖结构以及机动设备
陈进,invented,扰流翼的固定装置、扰流翼组件及车辆
陈进,invented,一种连杆式尾翼及其汽车
陈进,invented,一种电动撑杆和汽车
陈进,invented,一种阻尼器和电动尾门撑杆
陈进,invented,一种汽车电动尾翼结构
陈进,invented,一种具有安装高度调节结构的汽车尾翼
陈进,invented,一种摩擦阻尼器及电动尾门机械撑杆
陈进,invented,一种电动尾翼底座排水结构及电动尾翼总成
陈进,invented,一种把手总成及汽车门
陈进,invented,车辆尾翼及车辆
陈进,invented,车门连接机构及汽车
陈进,invented,固定头和车门撑杆
陈进,invented,阻尼器及汽车尾门撑杆
王延明,invented,一种轻薄罗布麻纤维功能面料及其制备方法
霍云龙,invented,一种续驶里程分析及提示方法、装置及车辆
付磊,invented,一种续驶里程分析及提示方法、装置及车辆
牛超凡,invented,一种续驶里程分析及提示方法、装置及车辆
牛超凡,invented,车辆的剩余里程的确定方法、装置、存储介质及电子设备
王燕,invented,一种续驶里程分析及提示方法、装置及车辆
