entity_1,relation,entity_2
一种汽车安全带卷收器异响仿真自动化分析方法及系统,keywords,输出
一种基于危险场景的安全性评估方法,keywords,包括
一种汽车塑料零部件加工用清洗装置,keywords,清洗盒
一种汽车塑料零部件加工用清洗装置,keywords,本发明
一种阻尼器和电动尾门撑杆,keywords,转动座
一种阻尼器和电动尾门撑杆,keywords,盖体
车载以太网的通信方法、装置、存储介质及车辆,keywords,装置
阻尼器及汽车尾门撑杆,keywords,摩擦套
阻尼器及汽车尾门撑杆,keywords,阻尼器
脑机接口评价模型训练方法、评价方法、装置及设备,keywords,评价方法
一种摩擦阻尼器及电动尾门机械撑杆,keywords,安装杆
汽车置物架及汽车,keywords,阻尼器
一种汽车座椅联动轴的端部整形加工装置,keywords,阻尼器
阻尼器、电动尾门撑杆及车辆,keywords,上述方案
阻尼器、电动尾门撑杆及车辆,keywords,阻尼器
一种车辆尾翼系统及尾翼升降机构,keywords,底部支架
一种车辆尾翼系统及尾翼升降机构,keywords,第一连杆
一种车辆尾翼系统及尾翼升降机构,keywords,第二连杆
一种环卫作业状态智能检查方法、系统及存储介质,keywords,阻尼器
一种确定座椅阻尼系数的方法、装置、车机及存储介质,keywords,装置
一种卡扣式车载天线,keywords,阻尼器
一种综合性能好的压铸稀土镁合金及制备方法,keywords,la
一种综合性能好的压铸稀土镁合金及制备方法,keywords,30
一种综合性能好的压铸稀土镁合金及制备方法,keywords,02
一种综合性能好的压铸稀土镁合金及制备方法,keywords,45
一种基于JIT的单零件顺引物流配送方法,keywords,暂存
调节装置、尾翼装置和车辆,keywords,阻尼器
车辆钣金件的加工方法及装置、存储介质、处理器、车辆,keywords,存储介质
车辆钣金件的加工方法及装置、存储介质、处理器、车辆,keywords,车辆
灯光预警方法、预警灯组件、汽车及存储介质,keywords,阻尼器
一种档位控制方法、装置、设备及介质,keywords,方法包括
一种档位控制方法、装置、设备及介质,keywords,装置
一种档位控制方法、装置、设备及介质,keywords,阻尼器
预燃室总成及预燃室冷却系统,keywords,阻尼器
车辆中控制器的安全等级的确定方法、装置和车辆,keywords,阻尼器
高度集成手电泵,keywords,阻尼器
一种发动机分体式动力学振动响应结果评价方法,keywords,阻尼器
一种车辆异常通信行为管理方法、装置、设备及存储介质,keywords,装置
一种大面积落叶收集车,keywords,阻尼器
一种车辆尾气处理系统、方法、装置、设备及介质,keywords,方法
