entity_1,relation,entity_2
一种车辆尾翼系统及尾翼升降机构,keywords,底部支架
一种车辆尾翼系统及尾翼升降机构,keywords,第一连杆
一种车辆尾翼系统及尾翼升降机构,keywords,本发明涉及车辆工程技术领域
一种轻薄罗布麻纤维功能面料及其制备方法,keywords,调理肠胃功能以及化痰平喘的功效
一种轻薄罗布麻纤维功能面料及其制备方法,keywords,本说明书公开了一种轻薄罗布麻纤维功能面料
一种轻薄罗布麻纤维功能面料及其制备方法,keywords,本发明增强了面料的保健功效与持久性
一种电动尾翼驱动装置、电动尾翼总成及汽车,keywords,电动尾翼总成及汽车
一种电动尾翼驱动装置、电动尾翼总成及汽车,keywords,本发明可以提高电动尾翼驱动装置的传动效率
一种电动尾翼驱动装置、电动尾翼总成及汽车,keywords,本发明涉及汽车技术领域
一种续驶里程分析及提示方法、装置及车辆,keywords,本发明公开了一种续驶里程分析及提示方法
一种续驶里程分析及提示方法、装置及车辆,keywords,清晰明了的展示当前车辆与同行驶区域内同车型相比所表现的实际续驶里程水平
一种续驶里程分析及提示方法、装置及车辆,keywords,提高了用户的使用体验
调节装置、尾翼装置和车辆,keywords,调节装置至少包括底座
调节装置、尾翼装置和车辆,keywords,本申请涉及一种调节装置
调节装置、尾翼装置和车辆,keywords,调节机构被配置为能够调节安装件
一种非金属材料中铅元素检测剂及其制备方法和检测方法,keywords,涉及重金属检测技术领域
一种非金属材料中铅元素检测剂及其制备方法和检测方法,keywords,步骤s3中配制的表面活性剂溶液以及步骤s4中配制的氢氧化钠溶液
一种非金属材料中铅元素检测剂及其制备方法和检测方法,keywords,用去离子水配制氢氧化钠溶液
汽车尾门撑杆系统,keywords,提供了一种汽车尾门撑杆系统
汽车尾门撑杆系统,keywords,用于驱动所述第一转轮转动的驱动器
汽车尾门撑杆系统,keywords,本发明涉及汽车的技术领域
电池单元、电池包及车辆,keywords,本发明提供了一种电池单元
电池单元、电池包及车辆,keywords,负极极耳与第二导体连接
电池单元、电池包及车辆,keywords,电池包及车辆
阻尼器、电动尾门撑杆及车辆,keywords,电动尾门撑杆及车辆
阻尼器、电动尾门撑杆及车辆,keywords,旋转件还用于连接电动尾门撑杆的丝杆
阻尼器、电动尾门撑杆及车辆,keywords,本申请公开了一种阻尼器
电机控制方法、装置及车辆,keywords,电机的工作电压
电机控制方法、装置及车辆,keywords,本发明解决了相关技术在电机高速运转时选取的同步调制数不合理导致的电机效率低下的技术问题
电机控制方法、装置及车辆,keywords,目标同步调制数小于或等于当前同步调制数
