entity_1,relation,entity_2
一种硫化型加氢脱金属催化剂的制备方法,keywords,柠檬酸
一种硫化型加氢脱金属催化剂的制备方法,keywords,挤条成型后
一种硫化型加氢脱金属催化剂的制备方法,keywords,或钴盐
一种硫化型加氢脱金属催化剂的制备方法,keywords,拟薄水铝石滤饼
一种硫化型加氢脱金属催化剂的制备方法,keywords,镍盐和
一种硫磺回收系统,keywords,驱动环和胀裂环
基于动力学响应的轨道列车运行间距实时自动获取方法,keywords,计算出运行间距
一种二氧化碳封存井完井装置及方法,keywords,油管
一种二氧化碳封存井完井装置及方法,keywords,泄漏及出砂问题
一种二氧化碳封存井完井装置及方法,keywords,油管挂
一种导管架连续滑靴不同强度硬木组合的设计方案,keywords,包括有以下步骤
一种导管架连续滑靴不同强度硬木组合的设计方案,keywords,s5
一种导管架连续滑靴不同强度硬木组合的设计方案,keywords,s4
一种确定混源油的烃源岩贡献率的方法,keywords,本发明由繁入简
一种确定混源油的烃源岩贡献率的方法,keywords,驱动环和胀裂环
一种深水沉积岩性圈闭识别和定量刻画方法,keywords,驱动环和胀裂环
一种含天然裂缝地层裂缝缝宽的计算方法,keywords,求取裂缝宽度
一种非离子型水性环氧固化剂及其制备方法,keywords,还引入聚酰胺结构
一种非离子型水性环氧固化剂及其制备方法,keywords,环保
一种非离子型水性环氧固化剂及其制备方法,keywords,30
一种非离子型水性环氧固化剂及其制备方法,keywords,25
一种非离子型水性环氧固化剂及其制备方法,keywords,20
一种高凝油水下生产管汇,keywords,死油
一种高凝油水下生产管汇,keywords,包括
一种油气管道蜡或水合物堵塞的解堵装置及方法,keywords,驱动环和胀裂环
一种低渗储层油井酸化增产效果预测和调控方法,keywords,计算酸化增产倍比
一种低渗储层油井酸化增产效果预测和调控方法,keywords,根据溶蚀率η
一种低渗储层油井酸化增产效果预测和调控方法,keywords,s5
一种低渗储层油井酸化增产效果预测和调控方法,keywords,s4
一种低渗储层油井酸化增产效果预测和调控方法,keywords,s3
一种高芳烃芳香基橡胶增塑剂及其制备方法,keywords,拓展原料来源
一种高芳烃芳香基橡胶增塑剂及其制备方法,keywords,33322
一种高芳烃芳香基橡胶增塑剂及其制备方法,keywords,可制备满足gb
泵阀胶皮拆装工具,keywords,提高工作效率
泵阀胶皮拆装工具,keywords,安全性高
一种适用于巷道防冲液压支架的吸能式顶梁,keywords,制作成本较低的特点
一种适用于巷道防冲液压支架的吸能式顶梁,keywords,制造容易
一种适用于巷道防冲液压支架的吸能式顶梁,keywords,具有结构简单
一种适用于巷道防冲液压支架的吸能式顶梁,keywords,驱动环和胀裂环
一种有故障诊断功能的RS485集线分配转换装置及方法,keywords,数据存储电路
一种有故障诊断功能的RS485集线分配转换装置及方法,keywords,驱动环和胀裂环
一种水力压裂防止注水杆串杆装置,keywords,包括
一种水力压裂防止注水杆串杆装置,keywords,驱动环和胀裂环
一种非接触式饱和场测量系统,keywords,阵列式传感模块
一种非接触式饱和场测量系统,keywords,信号测量模块
一种非接触式饱和场测量系统,keywords,包括
一种非接触式饱和场测量系统,keywords,驱动环和胀裂环
一种长效型抗菌抗病毒聚酯面漆及其制备方法,keywords,35份
一种长效型抗菌抗病毒聚酯面漆及其制备方法,keywords,10份
一种长效型抗菌抗病毒聚酯面漆及其制备方法,keywords,提供健康安全防护
一种长效型抗菌抗病毒聚酯面漆及其制备方法,keywords,支化型聚酯树脂3
一种基于声音识别的煤矿井下探水钻孔监测方法与系统,keywords,进入报警状态
一种基于声音识别的煤矿井下探水钻孔监测方法与系统,keywords,本发明实施简单
一种醛加氢Cu基催化剂及其制备方法与应用,keywords,sub
一种醛加氢Cu基催化剂及其制备方法与应用,keywords,sio
水下井口系统整机测试装置,keywords,架体
水下井口系统整机测试装置,keywords,设在架体上的安装位
一种光热、pH响应的自修复防腐涂层及其制备方法和应用,keywords,sub
一种光热、pH响应的自修复防腐涂层及其制备方法和应用,keywords,sio
